isHate;comment
0;Cars, cars, cars, cars...ï»¿
0;If they hide in the engine they would get killed.That is a stupid way they can smuggle into another countryï»¿
0;Build that wall deport them all!ï»¿
0;Jon Snow - The King in the north thank you for uploading this.Â  I have one small complaint, he is only talking about deporting illegal immigrants, not immigrants in general.Â  Your title might mislead the less informed.ï»¿
0;"Stopping illegal immigration should have been done 30-years ago, before it turned my beloved Los Angeles turn into a filthy Mexican border town, complete with Latino gangs, millions of undocumented, uneducated and poverty-stricken aliens with absolutely nothing to add to our quality of life but a strong back and a proclivity for having dozens of babies (all of which become LEGAL U.S. citizens due to our insane laws), and forcing California teachers to have to teach them in their own native language, and for no additional increase in their already low wages.  Add to that the free health care and welfare that hundreds of thousands of them are enjoying at American taxpayers&#39; expense, and you have the blueprint for disaster.  That is why I left California for good, and voted for Trump, for good.  Every time I see Mexican graffiti all over the once pristine neighborhoods of Los Angeles, I want to help build the wall myself.  But I fear it&#39;s far too late for that.  There are now 20 million illegals in America, and soon it will become The United States of Mexico.<br /><br />Now I&#39;m seeing the exact, same thing happen all over Western Europe, from England, to France, to Germany, and I will unfortunately live to see the exact, same thing happen to them... the complete and utter destruction of what were once countries with their own borders, their own culture, and their own identities, all sacrificed on the altar of uncontrolled globalism, purposely created turmoil, and economic disaster.ï»¿"
0;Only people to come in must be able to contribute to society. Not a drain on us. Must be able to support themselves with a trade. We do not need people living off the rest of us.ï»¿
1;"it bothers me when people say &quot;deportimg illegal immigrants will take all the workforce off the farms&quot; . completley false, after he deports the wetbacks then he will get rid of foodstamps, and then the niggers will go back to working on the farm like they used to doï»¿"
0;"Whats the big deal Mexico has immigration laws and policies. They deport people all the time nothing is said or done yet when the United States chooses to enforce it&#39;s immigration laws and policies people become shocked and outragedï»¿"
0;"During war discrimination is a &quot;military necessity&quot;!<br /><br />When Korematsuâs case reached the Supreme Court in October 1944, the attorneys for the government pointed to the constitutional war powers of Congress and the president. The government argued that the military must take all steps necessary to wage war successfully. In the view of President Roosevelt, the War Department, and General DeWitt, the internment of all Japanese Issei and Nisei was a âmilitary necessity.â<br /><br />and assuming we were at war with ISIS, then rounding up ISIS would not be racist<br /><br />On December 18, 1944, the Supreme Court decided, 6â3, to uphold the conviction of Korematsu. The majority ruled only on his refusal to leave a prohibited military area and did not consider the constitutionality of the relocation camps. Justice Hugo Black, writing for the majority, fully accepted the views of General DeWitt. Justice Black also said that Korematsu had not been forced from his home because of his race, but because of âthe military urgency of the situation.â<br /><br /><a href=""http://www.crf-usa.org/america-responds-to-terrorism/wartime-and-the-bill-of-rights.html"" class=""ot-anchor"">http://www.crf-usa.org/america-responds-to-terrorism/wartime-and-the-bill-of-rights.html</a>ï»¿"
0;"I&#39;ve been trying to figure out which common American voter is more uniformed, Republican or Democrat for years.  Democrats do any of you have the slightest clue that Obama has deported more Mexicans than any other President in history?ï»¿"
0;take your issues, shine it up, turn it sideways and stick it straight up your money assesï»¿
0;"He knows what he&#39;s doing.. He has a good heart he only wants the criminal illegal out  not hard working families it appears that he will make sure they start the process to become citizens and not take united states as a joke.ï»¿"
0;"trump likes imigrants   he DOES NOT like criminals take advantage of the u.s &quot;safe citys&quot; were they can just keep being criminals and not get in troubleï»¿"
0;"I&#39;m all for more migrants from already developed countries so we get civilized people. We don&#39;t anymore wild 3rd world migrants who burn down towns and cause crime and are low skilled eternally impoverished people. We can certainly help 3rd world countries with donations and charity but we don&#39;t need to import their societies here.ï»¿"
0;"Nice title! I think you left out the word &quot;illegal&quot;.ï»¿"
0;Poor sound qualityï»¿
0;"Translation: We&#39;re gonna deport the bad ones first, then the good ones......later.ï»¿"
0;Its politic. some of things he said he wont do it.ï»¿
0;I hate himï»¿
0;i dont hate trump anymore, why because he fooled me and many others. how? senators would spend an arm probably both legs to get votes. trump on the other hand used social media  (Fb Ig tw etc) and few million dollars and won. Now hearing him now made sense for me. he said what he had to say to win.  who wouldnt agree to deport the illegals that are doing bad. im just glad he said the ones that have contribute to america would get chance to be legal. heck yeah. thanks trump. i aint mad at cha... anymore.ï»¿
1;No Trump!Â  We want you to deport ALL Illegal Immigrants!Â  When I say ALL, I mean ALL! Period!ï»¿
0;Good job sweden. More plzï»¿
0;Good video!ï»¿
1;"Greeks do not want Muslims. Greeks have been fighting Islam for centuries. Greece I believe won&#39;t allow mosques to be built.ï»¿"
0;"THIS WON&#39;T LAST FOR LONG.ï»¿"
0;"There&#39;s hope for Europe yet.ï»¿"
1;send these fucktards to canada ,our government  accepts anybody regardles of theopinion of the working man who worked here all his life!!ï»¿
0;they only looking for oil reserve not imigrantï»¿
0;ABOUT TIME, is it not?ï»¿
0;Excellent video. Thanks Anthony Brianï»¿
1;ISLAM is a cancer get rid of it, Muhammad is a cross dressing pedophile.ï»¿
0;"I&#39;m one of the people that will truly give this man a chance but everyone here must be careful about this policy.  You can send all illegals back to where ever but just remember that black people will not be going back to your farms/plantations, looking after your kids, clean your houses, falling in line with Jim Crow laws, allowing are fellows men to be beaten, shining your shoes and working for little or nothing.  Slavery will not be making a come back.  Last time white supremacy was fucking everything up you got the MLK attitude from black people.  You can best believe that if he starts fucking up, you will get the Malcolm X attitude this time, &quot;By Any Means Necessary.&quot;ï»¿"
0;I live in sweden and have felt big effects in the society and specielly in the schools.alot of the migrants in mu school have Been trying to get sexual contact with kind WHO are 6 years younger Its fucked upï»¿
0;"Thank god! I agree... Hillary and Obama wanted to bring more of these people... just bc their rich ass have protection ....they don&#39;t have to  live amongst them.ï»¿"
0;they want to live as normal ppls in their own motherland. but you western peoples bom their country to the stoneage. where else they want to go?ï»¿
0;This is horrible. Absolutely horrible.ï»¿
0;"Thanks for sharing Anthony. Well done..<br /><br />Why doesn&#39;t our media talk more about this? Does anyone really trust our media? I don&#39;t, LOLï»¿"
1;Islam is not feminist nor is it a religion,its a cult based on violence and terrorism apon  others.ï»¿
1;muslims are parasites and vermin,,,they need to be exterminatedï»¿
0;this is so good to hear an american say this alot of you lot dont get this situation ...a big fat thank you my friendï»¿
1;very good,  a beautiful ghift   : swedish take back your Sweden,  she belongs to you dear friends. Refugees out from Europe ðï»¿
0;good for you SWEDEN about fucking time!!!ï»¿
0;Poor old man! What did he do to deserve this? Whoever votes to take them in,should lead by example and take them home.ï»¿
0;where are the mafiosos?  Im sure they would love to use the jungle apes as targets!ï»¿
1;"Looks like the nazi&#39;s before.<br />This is an invasion and the autority&#39;s r collaborrating.<br />I woold blow up the place with everyone in.<br />If i&#39;d been brought down like this,<br />I woold take anyone with meï»¿"
0;This makes my blood boil ð¢ï»¿
1;He should send a bill to the police department. For the cost of damages . you know they shit on floor. and left a big mess.ï»¿
1;Get OUT of the EU.  Italy vote to get the fuck out.  The EU is destroying your country.  Are there no private property laws for Italians who own property in Italy, can the Italian Govt. just come in and take your private property and use it to house illegal immigrants???  This is all caused by Italy membership in the EU.  Vote to LEAVE EU.  You are living in an insane asylum.  WAKE UP!!!ï»¿
0;medical is free in italyï»¿
1;this was the most disgusting thing i have EVER seen! to come into a mans hotel like that and just take over is DISGUSTING! and to allow scum like those refugees to walk in Eww go home u scumï»¿
0;If this is real would take up arms against the Govt. Cheers from New Zealand.ï»¿
1;"proof that the government sucks these peoples dicks and give them anything they want I guarantee what&#39;s next they&#39;ll allow them to rape there daughters ...and after that the people of Italy will be force to switch to Islam or pay high consequences government will force this heed my words leave  now !!!!!ï»¿"
0;He signed a contract with a backward government to house third world refugees. What did he think he was going to get? Disabled European war veterans?ï»¿
0;If diversity is So Great,Â  why is it being FORCED DOWN THE THROAT OF THIS ITALIAN???ï»¿
0;Not only the politicians are going into the wood chippers but also the police.ï»¿
1;"bastards. So you can&#39;t even own a property without the danger  of government taking it..ï»¿"
1;"if they forced me to let them ,I&#39;d let them in and make a big pot of welcome soup... full of rat poison.... problem solvedï»¿"
0;"Who&#39;s the slave now, luigiï»¿"
1;We need to bring back fascism and concentration camps so that we can properly deal with this rat infestation.ï»¿
1;YOU HAS TO KILL ALL THESE GLOBALISTS AND POLITICIANS.<br />RISE UP WITH MACHETE IN HANDS AND INVADE THE EU AND KILL THEM ALL.ï»¿
0;This is how the Mafia began.  The citizens got pushed too far and took matters into their own hands.ï»¿
0;Pure example of a : goverment inside a goverment ! poor man!ï»¿
0;"Y&#39;all need to chill. The word Alien isn&#39;t a racist term. It may offend you, but it&#39;s not racist. He probably used the alien in his video because he didn&#39;t want to keep saying immigrant all the time. It&#39;s like writing one of those research papers in school, you have to go use a thesaurus to find better words for your other words so you don&#39;t repeat yourself over and over. Would you rather him use the word outsider? Or incomer? On websites, the term alien is the first synonym that pops up for immigrant because it&#39;s already widely used, but is still a good term that you don&#39;t say in a conversation.<br />Note: To all the people saying &quot;Trump will fix this&quot; or &quot;Build a wall&quot; That is not a good idea. We don&#39;t need to piss off any more countries.ï»¿"
